File name: ../test_sequence/sequence_H.txt
346;39;-11.40;-3.30
347;64;-25.70;-20.70
348;41;-14.10;-8.80
349;26;-12.20;-5.90
350;39;-17.80;-13.30
351;32;-13.20;-3.30
352;71;-37.40;-28.90
353;61;-36.30;-23.10
354;46;-22.40;-15.90
355;57;-25.40;-12.90
356;61;-32.30;-23.20
357;52;-26.50;-18.20
358;33;-17.90;-9.50
359;30;-16.70;-8.40
360;35;-13.00;-3.90
361;70;-39.90;-31.40
